iso3c	ht_colonial	lexp	gdpc	pop	country	continent	region
PAK	5	67.649	6013.989636386	247504495	Pakistan	Asia	South Asia
PAN	2	79.594	39813.3857939972	4458759	Panama	Americas	Latin America & Caribbean
PNG	10	66.134	4667.83567092991	10389635	Papua New Guinea	Oceania	East Asia & Pacific
PRY	2	73.844	17564.4912369374	6844146	Paraguay	Americas	Latin America & Caribbean
PER	2	77.74	17011.2278028825	33845617	Peru	Americas	Latin America & Caribbean
PHL	4	69.833	10985.8292627505	114891199	Philippines	Asia	East Asia & Pacific
POL	0	78.5073170731707	48473.0940286419	36687353	Poland	Europe	Europe & Central Asia
PRT	0	82.2804878048781	49352.8388613032	10578174	Portugal	Europe	Europe & Central Asia
GNB	7	64.085	2989.67235980477	2153339	Guinea-Bissau	Africa	Sub-Saharan Africa
TLS	0	67.689	4806.82181559299	1384286	Timor-Leste	Asia	East Asia & Pacific
QAT	5	82.368	129367.869670927	2656032	Qatar	Asia	Middle East & North Africa
ROU	0	76.6073170731707	47038.5288626113	19061062	Romania	Europe	Europe & Central Asia
RUS	0	73.2546341463415	44268.73046875	143826130	Russia	Europe	Europe & Central Asia
RWA	8	67.785	3399.45174603143	13954471	Rwanda	Africa	Sub-Saharan Africa
KNA	5	72.145	33979.6303615734	46758	St. Kitts & Nevis	Americas	Latin America & Caribbean
LCA	5	72.697	25974.5092925263	179285	St. Lucia	Americas	Latin America & Caribbean
VCT	5	71.23	19819.869034679	101323	St. Vincent & Grenadines	Americas	Latin America & Caribbean
SMR	0	85.706	78745.4313299335	33860	San Marino	Europe	Europe & Central Asia
STP	7	69.718	6149.98146081932	230871	São Tomé & Príncipe	Africa	Sub-Saharan Africa
SAU	0	78.732	71564.800028565	33702731	Saudi Arabia	Asia	Middle East & North Africa
SEN	6	68.683	4777.61451861578	18077573	Senegal	Africa	Sub-Saharan Africa
SRB	0	76.2209756097561	29800.0611177762	6623183	Serbia	Europe	Europe & Central Asia
SYC	5	74.9585365853659	31780.7838341965	119773	Seychelles	Africa	Sub-Saharan Africa
SLE	5	61.786	3368.31727188063	8460512	Sierra Leone	Africa	Sub-Saharan Africa
SGP	5	82.8951219512195	143786.136293013	5917648	Singapore	Asia	East Asia & Pacific
SVK	0	78.0170731707317	45973.9406902991	5426740	Slovakia	Europe	Europe & Central Asia
VNM	6	74.588	15033.8768594355	100352192	Vietnam	Asia	East Asia & Pacific
SVN	0	81.9780487804878	56064.0974596742	2120461	Slovenia	Europe	Europe & Central Asia
SOM	3	58.816	1555.61016798776	18358615	Somalia	Africa	Sub-Saharan Africa
ZAF	5	66.139	15199.7329823776	63212384	South Africa	Africa	Sub-Saharan Africa
ZWE	5	62.775	5791.19212877988	16340822	Zimbabwe	Africa	Sub-Saharan Africa
ESP	0	83.8829268292683	55682.2402603093	48352528	Spain	Europe	Europe & Central Asia
SSD	5	NA	NA	NA	South Sudan	Africa	Sub-Saharan Africa
SDN	5	66.331	2420.65795898438	50042791	Sudan	Africa	Sub-Saharan Africa
SUR	1	73.631	21110.1980204563	628886	Suriname	Americas	Latin America & Caribbean
SWZ	5	64.123	11299.8831236788	1230506	Eswatini	Africa	Sub-Saharan Africa
SWE	0	83.309756097561	69226.3272756663	10536632	Sweden	Europe	Europe & Central Asia
CHE	0	84.0560975609756	95141.5960943632	8888822	Switzerland	Europe	Europe & Central Asia
SYR	6	72.79	4772.4616766716	22462173	Syria	Asia	Middle East & North Africa
TJK	0	71.79	4963.58295264504	10389799	Tajikistan	Asia	Europe & Central Asia
THA	0	76.412	23519.2120979823	71702435	Thailand	Asia	East Asia & Pacific
TGO	6	62.739	3154.43329348299	9304337	Togo	Africa	Sub-Saharan Africa
TON	5	72.895	7802.66986206107	104597	Tonga	Oceania	East Asia & Pacific
TTO	5	73.49	34623.3691500959	1367510	Trinidad & Tobago	Americas	Latin America & Caribbean
ARE	5	82.909	77955.2951760879	10483751	United Arab Emirates	Asia	Middle East & North Africa
TUN	6	76.508	14040.5961148142	12200431	Tunisia	Africa	Middle East & North Africa
TUR	0	77.156	42786.2004948664	85325965	Turkey	Asia	Europe & Central Asia
TKM	0	70.073	19828.9248461199	7364438	Turkmenistan	Asia	Europe & Central Asia
TUV	5	67.105	6151.01047041608	9816	Tuvalu	Oceania	East Asia & Pacific
UGA	5	68.252	3097.63702430619	48656601	Uganda	Africa	Sub-Saharan Africa
UKR	0	73.422	17665.34375	37732836	Ukraine	Europe	Europe & Central Asia
MKD	0	75.3160975609756	25429.0944700616	1827816	North Macedonia	Europe	Europe & Central Asia
EGY	5	71.633	18524.8392997937	114535772	Egypt	Africa	Middle East & North Africa
GBR	0	81.2380975609756	59911.3467663209	68492000	United Kingdom	Europe	Europe & Central Asia
TZA	5	66.995	4018.5166015625	66617606	Tanzania	Africa	Sub-Saharan Africa
USA	0	78.3853658536585	82304.6204272866	336806231	United States	Americas	North America
BFA	6	61.092	2759.30205484605	23025776	Burkina Faso	Africa	Sub-Saharan Africa
URY	2	78.138	34470.9322201143	3388081	Uruguay	Americas	Latin America & Caribbean
UZB	0	72.388	11106.9715934767	35652307	Uzbekistan	Asia	Europe & Central Asia
VEN	2	NA	NA	NA	Venezuela	Americas	Latin America & Caribbean
WSM	5	71.698	8194.80725640734	216663	Samoa	Oceania	East Asia & Pacific
YEM	5	NA	NA	NA	Yemen	Asia	Middle East & North Africa
ZMB	5	66.349	4076.99508686641	20723965	Zambia	Africa	Sub-Saharan Africa
MHL	4	66.945	7548.73253747944	38827	Marshall Islands	Oceania	East Asia & Pacific
ABW	NA	76.353	46574.3574197653	107359	Aruba	Americas	Latin America & Caribbean
BMU	NA	82.309	114372.049927372	64698	Bermuda	Americas	North America
CYM	NA	80.358	88427.7866712691	73038	Cayman Islands	Americas	Latin America & Caribbean
CUW	NA	76.8	30651.5885510423	154654	Curaçao	Americas	Latin America & Caribbean
FRO	NA	83.1439024390244	79694.929791758	54414	Faroe Islands	Europe	Europe & Central Asia
GRL	NA	71.549756097561	78840.5978395988	56865	Greenland	Americas	Europe & Central Asia
HKG	NA	85.2473170731707	71512.3193551161	7536100	Hong Kong SAR China	Asia	East Asia & Pacific
MAC	NA	83.1804878048781	116328.540600134	678800	Macao SAR China	Asia	East Asia & Pacific
PRI	NA	81.69	47543.3937761528	3203792	Puerto Rico	Americas	Latin America & Caribbean
SXM	NA	76.371	51686.6520818084	42749	Sint Maarten	Americas	Latin America & Caribbean
TCA	NA	78.008	35336.7403511449	46198	Turks & Caicos Islands	Americas	Latin America & Caribbean
VIR	NA	80.319512195122	49793.0324395716	105413	U.S. Virgin Islands	Americas	Latin America & Caribbean
PSE	NA	65.17	5950.02006184393	5165775	Palestinian Territories	Asia	Middle East & North Africa
