iso3c	country	continent	region	ht_colonial	lexp	gdpc	pop
CHE	Switzerland	Europe	Europe & Central Asia	0	84.0560975609756	95141.5960943632	8888822
SYR	Syria	Asia	Middle East & North Africa	6	72.79	4772.4616766716	22462173
TJK	Tajikistan	Asia	Europe & Central Asia	0	71.79	4963.58295264504	10389799
THA	Thailand	Asia	East Asia & Pacific	0	76.412	23519.2120979823	71702435
TGO	Togo	Africa	Sub-Saharan Africa	6	62.739	3154.43329348299	9304337
TON	Tonga	Oceania	East Asia & Pacific	5	72.895	7802.66986206107	104597
TTO	Trinidad & Tobago	Americas	Latin America & Caribbean	5	73.49	34623.3691500959	1367510
ARE	United Arab Emirates	Asia	Middle East & North Africa	5	82.909	77955.2951760879	10483751
TUN	Tunisia	Africa	Middle East & North Africa	6	76.508	14040.5961148142	12200431
TUR	Turkey	Asia	Europe & Central Asia	0	77.156	42786.2004948664	85325965
TKM	Turkmenistan	Asia	Europe & Central Asia	0	70.073	19828.9248461199	7364438
TUV	Tuvalu	Oceania	East Asia & Pacific	5	67.105	6151.01047041608	9816
UGA	Uganda	Africa	Sub-Saharan Africa	5	68.252	3097.63702430619	48656601
UKR	Ukraine	Europe	Europe & Central Asia	0	73.422	17665.34375	37732836
MKD	North Macedonia	Europe	Europe & Central Asia	0	75.3160975609756	25429.0944700616	1827816
EGY	Egypt	Africa	Middle East & North Africa	5	71.633	18524.8392997937	114535772
GBR	United Kingdom	Europe	Europe & Central Asia	0	81.2380975609756	59911.3467663209	68492000
TZA	Tanzania	Africa	Sub-Saharan Africa	5	66.995	4018.5166015625	66617606
USA	United States	Americas	North America	0	78.3853658536585	82304.6204272866	336806231
BFA	Burkina Faso	Africa	Sub-Saharan Africa	6	61.092	2759.30205484605	23025776
URY	Uruguay	Americas	Latin America & Caribbean	2	78.138	34470.9322201143	3388081
UZB	Uzbekistan	Asia	Europe & Central Asia	0	72.388	11106.9715934767	35652307
VEN	Venezuela	Americas	Latin America & Caribbean	2	NA	NA	NA
WSM	Samoa	Oceania	East Asia & Pacific	5	71.698	8194.80725640734	216663
YEM	Yemen	Asia	Middle East & North Africa	5	NA	NA	NA
ZMB	Zambia	Africa	Sub-Saharan Africa	5	66.349	4076.99508686641	20723965
MHL	Marshall Islands	Oceania	East Asia & Pacific	4	66.945	7548.73253747944	38827
ABW	Aruba	Americas	Latin America & Caribbean	NA	76.353	46574.3574197653	107359
BMU	Bermuda	Americas	North America	NA	82.309	114372.049927372	64698
CYM	Cayman Islands	Americas	Latin America & Caribbean	NA	80.358	88427.7866712691	73038
CUW	Curaçao	Americas	Latin America & Caribbean	NA	76.8	30651.5885510423	154654
FRO	Faroe Islands	Europe	Europe & Central Asia	NA	83.1439024390244	79694.929791758	54414
GRL	Greenland	Americas	Europe & Central Asia	NA	71.549756097561	78840.5978395988	56865
HKG	Hong Kong SAR China	Asia	East Asia & Pacific	NA	85.2473170731707	71512.3193551161	7536100
MAC	Macao SAR China	Asia	East Asia & Pacific	NA	83.1804878048781	116328.540600134	678800
PRI	Puerto Rico	Americas	Latin America & Caribbean	NA	81.69	47543.3937761528	3203792
SXM	Sint Maarten	Americas	Latin America & Caribbean	NA	76.371	51686.6520818084	42749
TCA	Turks & Caicos Islands	Americas	Latin America & Caribbean	NA	78.008	35336.7403511449	46198
VIR	U.S. Virgin Islands	Americas	Latin America & Caribbean	NA	80.319512195122	49793.0324395716	105413
PSE	Palestinian Territories	Asia	Middle East & North Africa	NA	65.17	5950.02006184393	5165775
